City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,boa esperanca,-21.09,-45.57,78.03,79,66,8.55,BR,1579375424
192,buguruslan,53.66,52.44,29.52,96,98,5.44,RU,1579375376
193,sharlyk,52.92,54.75,22.32,97,96,7.94,RU,1579375424
194,key largo,25.09,-80.45,78.01,57,1,17.22,US,1579375424
195,vanimo,-2.67,141.3,82.42,83,100,23.42,PG,1579375424
196,port keats,-14.25,129.55,84.97,77,14,11.77,AU,1579375425
197,kenora,49.82,-94.43,19.4,85,90,9.17,CA,1579375425
198,fortuna,40.6,-124.16,55.99,47,90,4.7,US,1579375425
199,rongcheng,30.63,117.85,35.64,87,96,1.19,CN,1579375425
200,goma,-1.68,29.22,58.62,95,100,2.84,CD,1579375426
201,hami,42.8,93.45,12.24,56,3,2.64,CN,1579375426
202,kutum,14.2,24.67,59.76,35,6,8.14,SD,1579375426
203,san jose,37.34,-121.89,53.01,75,75,2.57,US,1579375427
204,teguldet,57.31,88.17,0.12,86,31,10.09,RU,1579375427
205,pisco,-13.7,-76.22,72.0,30,75,6.93,PE,1579375427
206,butaritari,3.07,172.79,84.51,76,100,14.0,KI,1579375427
207,mankono,8.06,-6.19,90.05,20,0,2.8,CI,1579375427
208,constitucion,-35.33,-72.42,72.54,50,64,7.16,CL,1579375428
209,andenes,69.31,16.12,32.0,72,73,13.87,NO,1579375428
210,talnakh,69.49,88.4,-18.4,75,40,15.66,RU,1579375428
211,olbia,40.92,9.49,53.6,62,40,8.05,IT,1579375337
212,livingston,55.9,-3.52,39.99,85,71,5.82,GB,1579375428
213,micheweni,-4.97,39.83,81.93,79,53,16.82,TZ,1579375428
214,longyearbyen,78.22,15.64,26.6,68,75,27.51,SJ,1579375429
215,chokwe,-24.53,32.98,79.36,85,93,8.5,MZ,1579375429
216,kampot,10.62,104.18,77.0,88,20,6.93,KH,1579375429
217,sanmenxia,34.77,111.18,29.19,63,78,3.53,CN,1579375429
218,luancheng,37.88,114.65,19.4,92,33,2.24,CN,1579375429
219,grootfontein,-19.57,18.12,79.07,42,75,6.08,NA,1579375429
220,lebu,-37.62,-73.65,74.14,38,26,12.77,CL,1579375430
221,joao pinheiro,-17.74,-46.17,84.69,67,99,4.03,BR,1579375430
222,qeshm,26.96,56.27,59.0,71,100,4.7,IR,1579375430
223,la baule-escoublac,47.29,-2.36,46.99,87,48,10.29,FR,1579375430
224,rovaniemi,66.5,25.72,23.0,92,90,13.87,FI,1579375430
225,sabang,5.89,95.32,82.0,80,3,13.58,ID,1579375430
226,kaliyaganj,25.63,88.32,65.28,63,0,6.62,IN,1579375431
227,baoshan,46.56,131.42,3.97,90,98,0.83,CN,1579375431
228,palana,59.12,159.97,7.43,93,99,5.84,RU,1579375431
229,chifeng,42.27,118.96,12.43,59,20,8.81,CN,1579375431
230,novomykolayivka,47.98,35.91,26.6,100,90,4.47,UA,1579375431
231,pringsewu,-5.36,104.97,73.29,95,100,3.11,ID,1579375431
232,salta,-24.79,-65.41,78.8,64,75,4.7,AR,1579375206
233,soyo,-6.13,12.37,82.4,78,20,6.71,AO,1579375432
234,camaiore,43.91,10.24,46.99,100,40,6.93,IT,1579375432
235,boyolangu,-8.12,111.89,73.67,82,0,1.99,ID,1579375432
236,yulara,-25.24,130.99,78.8,39,66,12.75,AU,1579375432
237,sandwick,60.0,-1.25,44.6,52,36,26.4,GB,1579375433
238,aklavik,68.22,-135.01,-4.0,74,20,5.82,CA,1579375433
239,rio gallegos,-51.62,-69.22,68.0,34,40,20.8,AR,1579375433
240,san quintin,30.48,-115.95,59.79,62,70,4.63,MX,1579375433
241,inhumas,-16.36,-49.5,80.6,78,75,9.17,BR,1579375433
242,kahului,20.89,-156.47,69.8,83,40,16.11,US,1579375363
243,caravelas,-17.71,-39.25,80.73,69,34,9.73,BR,1579375434
244,buzuluk,52.78,52.26,27.95,97,95,3.94,RU,1579375434
245,te anau,-45.42,167.72,53.28,92,67,1.61,NZ,1579375434
246,kodiak,57.79,-152.41,35.6,80,90,26.4,US,1579375195
247,merauke,-8.47,140.33,78.58,92,82,6.53,ID,1579375434
248,bassano,50.78,-112.47,-8.0,69,54,4.0,CA,1579375435
249,xining,36.62,101.77,12.24,78,100,3.62,CN,1579375435
250,lorengau,-2.02,147.27,83.77,79,23,24.18,PG,1579375435
251,barentu,15.11,37.59,69.58,60,0,10.51,ER,1579375435
252,abu zabad,12.35,29.25,67.24,28,9,13.91,SD,1579375435
253,hanstholm,57.12,8.62,42.01,86,100,11.99,DK,1579375436
254,cockburn town,21.46,-71.14,77.0,65,75,17.22,TC,1579375267
255,hamilton,39.18,-84.53,51.01,81,90,13.87,US,1579375436
256,qaqortoq,60.72,-46.03,30.2,46,75,44.96,GL,1579375436
257,saint-philippe,-21.36,55.77,80.6,83,100,3.36,RE,1579375436
258,santa luzia,-19.77,-43.85,84.2,65,40,11.41,BR,1579375436
259,kaitangata,-46.28,169.85,56.41,82,51,3.4,NZ,1579375437
260,lasa,46.62,10.7,48.2,73,5,4.7,IT,1579375437
261,sur,22.57,59.53,66.09,55,0,7.38,OM,1579375437
262,mitu,1.2,-70.17,88.45,54,45,4.81,CO,1579375437
263,lakes entrance,-37.88,147.98,60.01,95,99,4.81,AU,1579375437
264,palencia,42.42,-4.5,45.0,79,100,8.99,ES,1579375437
265,centerville,39.63,-84.16,51.8,87,90,23.04,US,1579375438
266,bhaderwah,32.98,75.72,27.5,67,18,4.9,IN,1579375146
267,cayenne,4.93,-52.33,84.2,74,75,12.75,GF,1579375438
268,jardim,-21.48,-56.14,89.13,61,98,7.07,BR,1579375438
269,poum,-20.23,164.02,79.23,78,0,13.58,NC,1579375439
270,abohar,30.15,74.18,51.01,50,0,3.56,IN,1579375439
271,estevan,49.13,-102.98,-9.4,76,75,25.28,CA,1579375439
272,elko,41.0,-115.5,33.8,50,1,3.36,US,1579375439
273,uvira,-3.41,29.15,54.41,98,100,2.55,CD,1579375440
274,mount gambier,-37.83,140.77,59.0,93,90,6.93,AU,1579375298
275,prince rupert,54.32,-130.32,37.4,59,75,16.11,CA,1579375440
276,popondetta,-8.75,148.25,72.82,91,0,3.29,PG,1579375440
277,wanaka,-44.7,169.15,59.0,74,94,1.34,NZ,1579375440
278,culpeper,38.5,-77.97,36.0,69,90,8.05,US,1579375440
279,christchurch,-43.53,172.63,57.99,100,51,1.12,NZ,1579375343
280,yumen,40.28,97.2,16.21,60,0,17.72,CN,1579375441
281,aktau,43.65,51.2,30.2,100,90,17.9,KZ,1579375252
282,bullhead city,35.15,-114.57,61.0,19,40,23.04,US,1579375254
283,sijunjung,-0.69,100.95,71.58,94,96,1.63,ID,1579375441
284,dali,25.7,100.18,35.83,81,0,2.8,CN,1579375442
285,laguna,38.42,-121.42,52.0,76,1,9.17,US,1579375442
286,manggar,-2.88,108.27,81.43,78,20,8.19,ID,1579375442
